DegreeNumber : 2257
0 2371 8580 0
1 2371 8855 0
2 2133 8580 0
3 2410 8855 1
4 2371 8492 0
5 2371 8433 4
6 2568 8433 5
7 2331 8492 4
8 2308 8492 7
9 2273 8492 8
10 2308 8820 8
11 2273 8210 9
12 2349 7921 1856
13 2349 7783 12
14 2418 7146 1859
15 2422 6366 1862
16 2511 6566 1862
17 2422 7146 14
18 2676 7100 1860
19 2676 6892 18
20 2793 6892 19
21 2793 6489 20
22 2614 6566 16
23 2614 6381 22
24 2619 5617 1852
25 3152 5617 24
26 3152 5585 25
27 3152 5557 26
28 3152 5370 27
29 3144 5557 27
30 3257 5370 31
31 3166 5370 28
32 3166 5047 31
33 3167 5047 32
34 3167 4637 33
35 3224 4637 34
36 3224 4475 35
37 3224 4259 36
38 3267 4259 37
39 3267 4143 38
40 3267 3829 39
41 3043 3829 40
42 2908 3284 44
43 2908 3019 42
44 3006 3284 45
45 3006 3346 1864
46 3107 3346 45
47 3314 3570 48
48 3310 3570 2096
49 3310 3538 48
50 3310 3486 49
51 3275 3486 50
52 3275 3280 51
53 3275 3186 52
54 3275 3041 53
55 3449 3186 53
56 3216 3041 54
57 3052 3041 56
58 3052 2837 57
59 3052 2759 58
60 3297 2759 59
61 3297 2385 60
62 1630 7962 1865
63 1972 7945 1865
64 2132 7970 1854
65 2084 7798 1867
66 2084 7040 69
67 2084 6901 66
68 2137 7040 66
69 2084 7382 70
70 2084 7397 65
71 1741 7397 70
72 1731 7397 71
73 1731 7008 72
74 1647 6655 2099
75 2003 6264 2098
76 2037 6264 75
77 1862 6337 78
78 1894 6337 2098
79 1894 6189 78
80 1769 6189 79
81 1769 6124 80
82 1769 5891 81
83 1742 6124 81
84 1769 5796 82
85 1769 5683 84
86 1761 5683 85
87 1775 5796 84
88 1859 5796 87
89 1859 5743 88
90 1761 5582 86
91 1761 5303 90
92 1809 5303 91
93 1760 5582 90
94 1695 5582 93
95 1695 5543 94
96 1470 5543 95
97 1470 5450 96
98 1470 5361 97
99 1486 5361 98
100 1486 5054 99
101 1544 4391 1870
102 1424 4391 101
103 1424 4164 102
104 1282 4164 103
105 1282 4005 104
106 1827 5303 92
107 1827 4709 106
108 1827 4387 112
109 1890 4387 108
110 1822 4467 112
111 1827 4552 107
112 1827 4467 111
113 1806 4552 111
114 1816 4467 110
115 1816 4402 114
116 1785 4402 115
117 1785 4072 116
118 1672 4072 117
119 1672 3823 118
120 1672 3522 123
