DegreeNumber : 2062
0 9972 5 0
1 1392 12 1998
2 878 21 1999
3 5270 24 1170
4 8887 27 1489
6 2572 42 2000
7 8295 44 2001
9 5515 53 1170
10 412 58 1290
11 3289 61 1433
12 6633 97 2002
13 4633 107 1201
14 4666 109 1201
15 1678 114 2003
16 1297 136 1332
22 3450 199 1433
24 102 231 1303
25 424 244 1290
26 4874 249 1176
28 7736 255 1203
30 1936 266 1360
32 7545 274 1194
35 1543 316 1304
36 4649 318 1188
42 2910 360 1422
47 1977 395 1343
48 713 403 2004
50 1576 416 1293
51 35 431 2005
52 7961 440 1218
55 6546 460 1167
56 8730 463 2006
57 7393 470 1195
59 9133 497 1485
60 8182 501 1225
61 7518 504 1204
62 1473 513 1260
64 2706 546 2007
68 5881 562 2008
73 4379 600 2009
74 9759 602 1452
75 735 623 1292
78 2311 639 1333
81 9432 664 1439
88 4830 753 2010
89 3611 759 2011
91 2351 795 1366
92 8005 805 2012
94 5600 813 1142
96 1779 837 1305
97 189 847 1258
99 1109 852 1214
101 1411 870 1230
102 501 871 1249
108 6116 927 1143
110 7190 935 2013
113 9201 958 1413
116 6426 983 1154
118 2445 998 1373
120 7347 1020 1226
123 2860 1030 1402
126 3135 1045 1410
127 3909 1046 1117
128 9492 1049 2014
129 7763 1050 1233
130 892 1059 1221
132 9370 1101 1417
133 437 1104 2015
134 2680 1110 2016
135 6667 1133 1160
136 9028 1162 1409
140 2889 1196 1406
142 5808 1213 2017
144 4746 1264 1099
145 8390 1288 1340
146 6347 1293 1160
147 5236 1295 1122
148 885 1301 1205
149 9180 1320 1405
150 40 1338 2018
151 1402 1345 1180
153 7660 1357 1286
154 178 1365 1287
155 2149 1369 1135
160 7907 1423 2019
162 1128 1445 1196
163 6110 1451 2020
166 8933 1471 1395
167 7051 1494 2021
168 3174 1506 1111
169 8970 1515 1389
171 5458 1518 1114
172 7261 1523 1321
175 4157 1534 1086
176 4391 1535 2022
179 2527 1557 1124
181 7196 1575 1331
182 3380 1579 1101
189 396 1657 1234
192 8354 1690 1329
194 2535 1706 1127
195 2968 1721 1116
197 5873 1737 1110
198 6511 1738 1123
200 5674 1760 1109
205 1196 1832 2023
206 6551 1835 1123
207 1645 1837 1156
208 5135 1855 1084
209 9529 1858 1400
212 7641 1864 2024
215 4587 1881 1063
216 4251 1890 1080
217 5042 1891 1075
220 7003 1908 1095
223 5782 1915 1105
225 5137 1921 1079
229 6229 1940 1119
231 4104 1955 1091
233 41 1973 1257
234 1207 1983 1191
235 2714 1989 2025
236 1353 2017 1198
239 4759 2024 1054
241 6807 2034 1095
