DegreeNumber : 83
0 1280 6220 0
1 1280 6640 0
2 480 6220 0
3 2840 6640 1
4 2030 4920 81
5 2030 4600 4
6 2880 4600 5
7 1960 1530 66
8 1960 1230 7
9 1020 1530 65
10 1020 340 9
11 580 340 10
12 580 180 11
13 1960 2160 76
14 1960 2810 13
15 2370 2810 14
16 2800 2810 15
17 2800 2270 16
18 2160 1230 8
19 2160 850 18
20 3110 850 19
21 3110 670 20
22 2980 4080 23
23 2980 4600 6
24 3010 4600 23
25 3760 4600 24
26 4050 4600 25
27 3760 4220 25
28 5090 4220 27
29 5090 3140 28
30 5090 2530 29
31 5090 2130 30
32 5240 2130 31
33 4920 2530 30
34 4680 2530 33
35 4680 2430 34
36 5380 2130 32
37 5380 1200 36
38 6330 1200 37
39 8920 790 40
40 8920 930 72
41 9090 930 40
42 4400 4600 26
43 4400 4500 42
44 6670 4500 43
45 6670 4380 44
46 9750 4500 44
47 9920 4500 46
48 9920 4640 47
49 3490 4080 22
50 3490 2130 49
51 3500 2130 50
52 3250 6640 3
53 3250 8190 52
54 3490 8190 53
55 3490 9010 54
56 4290 9010 55
57 4290 9070 56
58 4400 9070 57
59 4400 9380 58
60 6500 9380 59
61 6500 9900 60
62 440 6220 2
63 170 6410 70
64 240 2410 68
65 1220 1530 74
66 1780 1530 74
67 6330 1160 38
68 240 5770 69
69 240 6220 62
70 170 6220 69
71 7480 970 77
72 8920 970 71
73 7480 1160 71
74 1760 1530 75
75 1760 2160 82
76 1780 2160 75
77 7260 970 78
78 6330 970 67
79 6330 610 78
80 1760 6020 0
81 2030 6020 80
82 1760 4120 80
